gene	go
KCNKA	GO:0034765
KCNKA	GO:0007165
KCNKA	GO:0030322
KCNKI	GO:0005887
KCNKI	GO:0005886
KCNKI	GO:0015269
KCNKI	GO:0015271
KCNKI	GO:0022841
KCNKI	GO:0071467
KCNKI	GO:0097623
KCNKI	GO:0071805
KCNKI	GO:0006813
KCNKI	GO:0030322
SC5A8	GO:0016324
SC5A8	GO:0070062
SC5A8	GO:0016021
SC5A8	GO:0005886
SC5A8	GO:0015129
SC5A8	GO:0140161
SC5A8	GO:0008028
SC5A8	GO:0005343
SC5A8	GO:0022803
SC5A8	GO:0015552
SC5A8	GO:0015293
SC5A8	GO:0006915
SC5A8	GO:0006811
SC5A8	GO:0034356
SC5A8	GO:0015730
SC5A8	GO:0015913
SC5A8	GO:0006814
DGLB	GO:0016021
DGLB	GO:0005765
DGLB	GO:0005654
DGLB	GO:0005886
DGLB	GO:0045211
DGLB	GO:0047372
DGLB	GO:0016298
DGLB	GO:0046872
DGLB	GO:0004806
DGLB	GO:0019369
DGLB	GO:0071926
DGLB	GO:0007216
DGLB	GO:0016042
DGLB	GO:0007405
DGLB	GO:0022008
DGLB	GO:0042136
DGLB	GO:0010898
DGLB	GO:0001516
DGLB	GO:0050727
DGLB	GO:0098921
SO1C1	GO:0016323
SO1C1	GO:0005887
SO1C1	GO:0005886
SO1C1	GO:0015125
SO1C1	GO:0015347
SO1C1	GO:0015349
SO1C1	GO:0015721
SO1C1	GO:2000611
SO1C1	GO:0043252
SO1C1	GO:0070327
SO1C1	GO:0055085
SO1C1	GO:0150104
CTSR1	GO:0036128
CTSR1	GO:0031514
CTSR1	GO:0005886
CTSR1	GO:0005227
CTSR1	GO:0005245
CTSR1	GO:0006816
CTSR1	GO:0030154
CTSR1	GO:0030317
CTSR1	GO:0060296
CTSR1	GO:0034765
CTSR1	GO:0007283
CTSR2	GO:0036128
CTSR2	GO:0031514
CTSR2	GO:0005886
CTSR2	GO:0005227
CTSR2	GO:0005262
CTSR2	GO:0005244
CTSR2	GO:0009566
CTSR2	GO:0030317
CTSR2	GO:0034765
CTSR2	GO:0048240
CTSR3	GO:0001669
CTSR3	GO:0036128
CTSR3	GO:0005783
CTSR3	GO:0031514
CTSR3	GO:0005886
CTSR3	GO:0005245
CTSR3	GO:0030317
CTSR3	GO:0034765
CTSR3	GO:0006814
CTSR3	GO:0048240
CTSR4	GO:0001669
CTSR4	GO:0036128
CTSR4	GO:0005886
CTSR4	GO:0097228
CTSR4	GO:0005227
CTSR4	GO:0005245
CTSR4	GO:0030317
CTSR4	GO:0034765
CTSR4	GO:0006814
CTSR4	GO:0048240
IOD1	GO:0005789
IOD1	GO:0016021
IOD1	GO:0005886
IOD1	GO:0008430
IOD1	GO:0004800
IOD1	GO:0006520
IOD1	GO:0042446
IOD1	GO:0006590
IOD1	GO:0042403
ITB2	GO:0008305
ITB2	GO:0038023
ITB2	GO:0007160
ITB2	GO:0007229
S19A2	GO:0016021
S19A2	GO:0005886
S19A2	GO:0008517
S19A2	GO:0015234
S19A2	GO:0071934
S19A2	GO:0015888
S19A2	GO:0042723
S19A2	GO:0055085
S19A3	GO:0016021
S19A3	GO:0005886
S19A3	GO:0015234
S19A3	GO:0071934
S19A3	GO:0042723
S19A3	GO:0055085
VIAAT	GO:0009986
VIAAT	GO:0051286
VIAAT	GO:0061202
VIAAT	GO:0044316
VIAAT	GO:0030425
VIAAT	GO:0044292
VIAAT	GO:0098982
VIAAT	GO:0060077
VIAAT	GO:0030285
VIAAT	GO:0043005
VIAAT	GO:0044306
VIAAT	GO:0005886
VIAAT	GO:0048786
VIAAT	GO:0030672
VIAAT	GO:0015171
VIAAT	GO:0015495
VIAAT	GO:0015187
VIAAT	GO:0007568
VIAAT	GO:0021766
VIAAT	GO:0006811
VIAAT	GO:0098700
VIAAT	GO:0007269
CA2D3	GO:0005891
CA2D3	GO:0046872
CA2D3	GO:0005245
CA2D3	GO:0034765
CA2D4	GO:0005891
CA2D4	GO:0046872
CA2D4	GO:0005245
CA2D4	GO:0070588
CA2D4	GO:0050908
CA2D4	GO:0034765
KCNJ1	GO:0005886
KCNJ1	GO:0008076
KCNJ1	GO:0005524
KCNJ1	GO:0015272
KCNJ1	GO:0005242
KCNJ1	GO:0005546
KCNJ1	GO:0007588
KCNJ1	GO:1990573
KCNJ1	GO:0006813
KCNJ1	GO:0034765
CA2D2	GO:0005886
CA2D2	GO:0005891
CA2D2	GO:0046872
CA2D2	GO:0005245
CA2D2	GO:0034765
SCN2B	GO:0005886
SCN2B	GO:0045202
SCN2B	GO:0001518
SCN2B	GO:0017080
SCN2B	GO:0005244
SCN2B	GO:0086006
SCN2B	GO:0086002
SCN2B	GO:0060048
SCN2B	GO:0007268
SCN2B	GO:0086012
SCN2B	GO:0007399
SCN2B	GO:0060371
SCN2B	GO:0086091
SCN2B	GO:2000649
SCN2B	GO:0046684
SCN2B	GO:0035725
CAC1E	GO:0005886
CAC1E	GO:0045202
CAC1E	GO:0005891
CAC1E	GO:0005509
CAC1E	GO:0005245
CAC1E	GO:0022843
CAC1E	GO:0070509
CAC1E	GO:0006816
CAC1E	GO:0007268
CAC1E	GO:0034765
CAC1B	GO:0005886
CAC1B	GO:0045202
CAC1B	GO:0005891
CAC1B	GO:0001540
CAC1B	GO:0005524
CAC1B	GO:0005509
CAC1B	GO:0008331
CAC1B	GO:0008022
CAC1B	GO:0005245
CAC1B	GO:0070509
CAC1B	GO:0006816
CAC1B	GO:0007268
CAC1B	GO:0050804
CAC1B	GO:0034765
CAC1B	GO:1904645
CACB1	GO:0005886
CACB1	GO:0042383
CACB1	GO:0045202
CACB1	GO:0005891
CACB1	GO:0008331
CACB1	GO:0005245
CACB1	GO:1904646
CACB1	GO:0007268
CACB1	GO:0007528
CACB1	GO:1902514
CACB1	GO:1901385
PDE6C	GO:0005886
PDE6C	GO:0047555
PDE6C	GO:0004114
PDE6C	GO:0030553
PDE6C	GO:0046872
PDE6C	GO:0007603
PDE6C	GO:0046549
PDE6C	GO:0007165
PDE6C	GO:0007601
CNCG	GO:0042622
CNCG	GO:0047555
CNCG	GO:0030553
CNCG	GO:0004857
CNCG	GO:0045742
CNCG	GO:0045745
CNCG	GO:0043410
CNCG	GO:0050896
CNCG	GO:0007601
CNRG	GO:0097381
CNRG	GO:0042622
CNRG	GO:0005886
CNRG	GO:0047555
CNRG	GO:0030553
CNRG	GO:0004857
CNRG	GO:0030507
CNRG	GO:0045742
CNRG	GO:0045745
CNRG	GO:0043410
CNRG	GO:0050896
CNRG	GO:0007601
PDE6A	GO:0097381
PDE6A	GO:0042622
PDE6A	GO:0005886
PDE6A	GO:0047555
PDE6A	GO:0004114
PDE6A	GO:0046872
PDE6A	GO:0060041
PDE6A	GO:0007165
PDE6A	GO:0007601
PDE6B	GO:0097381
PDE6B	GO:0042622
PDE6B	GO:0005886
PDE6B	GO:0047555
PDE6B	GO:0004114
PDE6B	GO:0046872
PDE6B	GO:0043153
PDE6B	GO:0007603
PDE6B	GO:0060041
PDE6B	GO:1990009
PDE6B	GO:0007165
PDE6B	GO:0007601
NMD3B	GO:0043025
NMD3B	GO:0017146
